"Name","Website","Industry","Country","Funding_Amount__USD_","Funding_Type","Last_Funding_Date"
"Astrophel Aerospace","astrophelaerospace.in","Aerospace","India",798719,"Pre-Seed",2025-07-01
"Bambrew","www.bambrew.in","Alcohol","India",10509463,"Series B",2025-07-01
"CIMware","cimware.tech","Artificial Intelligence","India",2300000,"Seed",2025-07-01
"Garaaz","web.garaaz.com","Automotive, Cloud Computing, Marketplace","India",531312,"Seed",2025-07-01
"Loopworm","loopworm.in","Biotechnology, Manufacturing","India",3250000,"Seed",2025-07-01
"Lamark Biotech","lamarkbiotech.com","Biotechnology, Pharmaceuticals","India",759017,"Seed",2025-07-01
"Aukera","aukerajewellery.com","E-commerce, Fashion","India",15000000,"Series B",2025-07-01
"Blostem","blostem.com","Education, Artificial Intelligence","India",466722,"Seed",2025-07-01
"Cookd","cookdtv.com","Education, Media","India",1866890,"Seed",2025-07-01
"FitFeast","fitfeast.in","Food and Beverage","India",642407,"Seed",2025-07-01
"FES Cafe & Desserts","forearthssake.co.in","Food and Beverage","India",350404,"Seed",2025-07-01
"Eekifoods","eekifoods.com","Food and Beverage, Agriculture","India",7000000,"Series A",2025-07-01
"Luma Fertility","lumafertility.com","Healthcare","India",4000000,"Seed",2025-07-01
"AppsForBharat","appsforbharat.com","Mobile, Cloud Computing, Wellness","India",20435066,"Series C",2025-07-01
"Jumbotail","w.jumbotail.com","Retail, E-commerce, B2B Software, Marketplace","India",120000000,"Series D",2025-07-01
"Amama Jewellery","www.amama.in","Retail, Education","India",2300000,"Seed",2025-07-01
"SuperZop","www.superzop.com","Agriculture","India",12600000,"Series B",2025-07-01
"Arteria Technologies","arteriatech.in","Biotechnology, Artificial Intelligence","India",11681549,"Series B",2025-07-01
"Belong","getbelong.com","Cloud Computing","India",5000000,"Seed",2025-07-01
"Linkrunner","www.linkrunner.io","Data, Artificial Intelligence","India",583341,"Pre-Seed",2025-07-01
"EnerComp Solutions","www.enercomp.in","Drones, Manufacturing","India",232939,"Convertible Note",2025-07-01
"Divine Hindu","www.divinehindu.in","E-commerce, Retail","India",181989,"Seed",2025-07-01
"Credit Wise Capital","creditwisecapital.com","Finance","India",23333629,"Private Equity",2025-07-01
"InPrime Finserv","inprime.in","Finance","India",5832979,"Series A",2025-07-01
"Clean Fanatics","cleanfanatics.com","Home Services","India",1985863,"Seed",2025-07-01
"Chai Bisket","chaibisket.com","Media, Entertainment","India",5000000,"Seed",2025-07-01
"Manjha Technologies","manjha.in","Mobile, Cloud Computing","India",116660,"Seed",2025-07-01
"Wiselife","wiselife.in","Retail, Consumer Goods","India",933277,"Seed",2025-07-01
"Qoruz","qoruz.com","Social Network","India",500000,"Seed",2025-07-01
"Green Aero Propulsion","www.greenaero.in","Utilities","India",1600000,"Seed",2025-07-01
"Qik Office","qikoffice.com","Artificial Intelligence","India",150000,"Pre-Seed",2025-07-01
"Trupeer Ai","www.trupeer.ai","Artificial Intelligence","India",3000000,"Seed",2025-07-01
"QpiAI","qpiai.tech","Artificial Intelligence, Quantum Computing","India",32000000,"Series A",2025-07-01
"Zuppa Geo Navigation Technologies","www.zuppagps.com","Drones, Cloud Computing","India",1500000,"Convertible Note",2025-07-01
"KNOT","knotnow.co","Fashion, Cloud Computing","India",3000000,"Seed",2025-07-01
"PayU","www.payu.in","Finance","India",35232965,"Venture - Series Unknown",2025-07-01
"Burger Singh","burgersinghonline.com","Food and Beverage, E-commerce","India",5485952,"Venture - Series Unknown",2025-07-01
"DIAL4242","www.dial4242.com","Healthcare","India",1048275,"Seed",2025-07-01
"the HLTY.Beings collective","www.hlty.care","Healthcare","India",116280,"Pre-Seed",2025-07-01
"Lo! Foods","lofoods.fit","Healthcare","India",3500000,"Series A",2025-07-01
"Truemeds","www.truemeds.in","Healthcare, Pharmaceuticals","India",20324994,"Series C",2025-07-01
"Deep Algorithms Solutions","www.deepalgorithms.in","Information Technology, Professional Services","India",1259163,"Seed",2025-07-01
"Navana Tech","www.navana.ai","Mobile","India",815325,"Seed",2025-07-01
"ZeusHygia","www.zeushygia.com","Pharmaceuticals, Manufacturing","India",2500000,"Series A",2025-07-01
"The Wedding Company","www.theweddingcompany.com","Professional Services","India",931800,"Pre-Seed",2025-07-01
"Unibose Technology","unibose.com","Robotics, Home Services","India",639542,"Seed",2025-07-01
"Kluisz.ai","kluisz.ai","Artificial Intelligence, Cloud Computing","India",9600000,"Seed",2025-07-01
"iTuring.ai","www.cyborgintell.com","Artificial Intelligence, Cloud Computing","India",5000000,"Series A",2025-07-01
"Grexa AI","grexa.ai","Artificial Intelligence, Sales, Marketing","India",1794134,"Seed",2025-07-01
"SUGAR Cosmetics","in.sugarcosmetics.com","Beauty, E-commerce","India",2898250,"Venture - Series Unknown",2025-07-01
"EduFund","www.edufund.in","Education, Finance, Family","India",6000000,"Series A",2025-07-01
"ApClub","www.apclub.co.in","Education, Fitness","India",231860,"Pre-Seed",2025-07-01
"Netrasemi","www.netrasemi.com","Electronics","India",12399679,"Series A",2025-07-01
"EVeez","www.eveez.in","EV, Automotive","India",5400000,"Series A",2025-07-01
"Anny","www.styleanny.in","Fashion","India",1158957,"Seed",2025-07-01
"MedGenome","diagnostics.medgenome.com","Healthcare","India",47500000,"Series E",2025-07-01
"Pristyn Care","www.pristyncare.com","Healthcare","India",4000000,"Venture - Series Unknown",2025-07-01
"Bharatsure","bharatsure.com","Insurance, FinTech, Finance","India",695309,"Venture - Series Unknown",2025-07-01
"Enlite Research","www.enliteresearch.com","Property Management, Real Estate","India",5330703,"Series A",2025-07-01
"SuperK","www.superk.in","Retail, Marketplace","India",11588486,"Series B",2025-07-01
"Hudle","hudle.in","Sports, Fitness","India",2500000,"Series A",2025-07-01
"Escape Plan","myescplan.com","Travel","India",5000000,"Seed",2025-07-01
"Orbitt Space","orbitt.space","Aerospace","India",1000000,"Pre-Seed",2025-06-01
"Samunnati","samunnati.com","Agriculture","India",499606,"Series E",2025-06-01
"Frinks AI","frinks.ai","Artificial Intelligence","India",5400000,"Seed",2025-06-01
"Contineu","www.contineu.ai","Artificial Intelligence","India",1200000,"Seed",2025-06-01
"Cleevo","getcleevo.com","Education, Gaming","India",1000000,"Seed",2025-06-01
"Slikk","slikk.club","Fashion","India",10000000,"Series A",2025-06-01
"Palmonas","www.palmonas.com","Fashion","India",6500000,"Series A",2025-06-01
"Snitch","www.snitch.co.in","Fashion, E-commerce","India",32632092,"Series B",2025-06-01
"EUME","www.eumeworld.com","Fashion, Retail","India",2938859,"Series A",2025-06-01
"ILIOS 72 Alternative Capital","ilios72altcap.co.in","FinTech, Finance, Investing","India",117111,"Seed",2025-06-01
"Snabbit","snabbit.com","Home Services","India",19000000,"Series B",2025-06-01
"GROWiT","www.thegrowit.com","Home Services","India",3000000,"Series A",2025-06-01
"Pepperfry","www.pepperfry.com","E-commerce, Marketplace","India",5069715,"Venture - Series Unknown",2025-06-01
"GyanDhan","www.gyandhan.com","Education","India",5850721,"Series A",2025-06-01
"Gully Labs","gullylabs.com","Education","India",890284,"Seed",2025-06-01
"Infin8t","infin8t.tech","Energy","India",450000,"Pre-Seed",2025-06-01
"True Diamond","truediamond.in","Fashion","India",3033519,"Seed",2025-06-01
"Plush","www.plushforher.com","Fashion, E-commerce","India",4666952,"Series B",2025-06-01
"Spense","spense.money","FinTech","India",1850000,"Pre-Seed",2025-06-01
"LoanTap","loantap.in","FinTech, Finance","India",6300000,"Series C",2025-06-01
"Naagin","naaginsauce.com","Food and Beverage","India",2100000,"Venture - Series Unknown",2025-06-01
"Khari Foods","kharifoods.com","Food and Beverage","India",349332,"Seed",2025-06-01
"Handpickd","handpickd.farm","Food and Beverage","India",2526104,"Seed",2025-06-01
"Paras Healthcare","www.parashospitals.com","Healthcare","India",19859597,"Private Equity",2025-06-01
"Biopeak","www.biopeak.com","Healthcare","India",3500000,"Seed",2025-06-01
"The Tarzan Way","www.thetarzanway.com","Travel","India",232888,"Seed",2025-06-01
"Garuda Aerospace","www.garudaaerospace.com","Aerospace","India",1000000,"Series B",2025-06-01
"Roomstory.ai","roomstory.ai","Artificial Intelligence","India",350428,"Pre-Seed",2025-06-01
"Rumik.ai","rumik.ai","Artificial Intelligence","India",5000000,"Seed",2025-06-01
"Astrophel Aerospace","astrophelaerospace.in","Aerospace","India",798719,"Pre-Seed",2025-07-01
"Bambrew","www.bambrew.in","Alcohol","India",10509463,"Series B",2025-07-01
"CIMware","cimware.tech","Artificial Intelligence","India",2300000,"Seed",2025-07-01
"Garaaz","web.garaaz.com","Automotive, Cloud Computing, Marketplace","India",531312,"Seed",2025-07-01
"Loopworm","loopworm.in","Biotechnology, Manufacturing","India",3250000,"Seed",2025-07-01
"Lamark Biotech","lamarkbiotech.com","Biotechnology, Pharmaceuticals","India",759017,"Seed",2025-07-01
"Aukera","aukerajewellery.com","E-commerce, Fashion","India",15000000,"Series B",2025-07-01
"Blostem","blostem.com","Education, Artificial Intelligence","India",466722,"Seed",2025-07-01
"Cookd","cookdtv.com","Education, Media","India",1866890,"Seed",2025-07-01
"FitFeast","fitfeast.in","Food and Beverage","India",642407,"Seed",2025-07-01
"FES Cafe & Desserts","forearthssake.co.in","Food and Beverage","India",350404,"Seed",2025-07-01
"Eekifoods","eekifoods.com","Food and Beverage, Agriculture","India",7000000,"Series A",2025-07-01
"Luma Fertility","lumafertility.com","Healthcare","India",4000000,"Seed",2025-07-01
"AppsForBharat","appsforbharat.com","Mobile, Cloud Computing, Wellness","India",20435066,"Series C",2025-07-01
"Jumbotail","w.jumbotail.com","Retail, E-commerce, B2B Software, Marketplace","India",120000000,"Series D",2025-07-01
"Amama Jewellery","www.amama.in","Retail, Education","India",2300000,"Seed",2025-07-01
"SuperZop","www.superzop.com","Agriculture","India",12600000,"Series B",2025-07-01
"Arteria Technologies","arteriatech.in","Biotechnology, Artificial Intelligence","India",11681549,"Series B",2025-07-01
"Belong","getbelong.com","Cloud Computing","India",5000000,"Seed",2025-07-01
"Linkrunner","www.linkrunner.io","Data, Artificial Intelligence","India",583341,"Pre-Seed",2025-07-01
"EnerComp Solutions","www.enercomp.in","Drones, Manufacturing","India",232939,"Convertible Note",2025-07-01
"Divine Hindu","www.divinehindu.in","E-commerce, Retail","India",181989,"Seed",2025-07-01
"Credit Wise Capital","creditwisecapital.com","Finance","India",23333629,"Private Equity",2025-07-01
"InPrime Finserv","inprime.in","Finance","India",5832979,"Series A",2025-07-01
"Clean Fanatics","cleanfanatics.com","Home Services","India",1985863,"Seed",2025-07-01
"Chai Bisket","chaibisket.com","Media, Entertainment","India",5000000,"Seed",2025-07-01
"Manjha Technologies","manjha.in","Mobile, Cloud Computing","India",116660,"Seed",2025-07-01
"Wiselife","wiselife.in","Retail, Consumer Goods","India",933277,"Seed",2025-07-01
"Qoruz","qoruz.com","Social Network","India",500000,"Seed",2025-07-01
"Green Aero Propulsion","www.greenaero.in","Utilities","India",1600000,"Seed",2025-07-01
"Qik Office","qikoffice.com","Artificial Intelligence","India",150000,"Pre-Seed",2025-07-01
"Trupeer Ai","www.trupeer.ai","Artificial Intelligence","India",3000000,"Seed",2025-07-01
"QpiAI","qpiai.tech","Artificial Intelligence, Quantum Computing","India",32000000,"Series A",2025-07-01
"Zuppa Geo Navigation Technologies","www.zuppagps.com","Drones, Cloud Computing","India",1500000,"Convertible Note",2025-07-01
"KNOT","knotnow.co","Fashion, Cloud Computing","India",3000000,"Seed",2025-07-01
"PayU","www.payu.in","Finance","India",35232965,"Venture - Series Unknown",2025-07-01
"Burger Singh","burgersinghonline.com","Food and Beverage, E-commerce","India",5485952,"Venture - Series Unknown",2025-07-01
"DIAL4242","www.dial4242.com","Healthcare","India",1048275,"Seed",2025-07-01
"the HLTY.Beings collective","www.hlty.care","Healthcare","India",116280,"Pre-Seed",2025-07-01
"Lo! Foods","lofoods.fit","Healthcare","India",3500000,"Series A",2025-07-01
"Truemeds","www.truemeds.in","Healthcare, Pharmaceuticals","India",20324994,"Series C",2025-07-01
"Deep Algorithms Solutions","www.deepalgorithms.in","Information Technology, Professional Services","India",1259163,"Seed",2025-07-01
"Navana Tech","www.navana.ai","Mobile","India",815325,"Seed",2025-07-01
"ZeusHygia","www.zeushygia.com","Pharmaceuticals, Manufacturing","India",2500000,"Series A",2025-07-01
"The Wedding Company","www.theweddingcompany.com","Professional Services","India",931800,"Pre-Seed",2025-07-01
"Unibose Technology","unibose.com","Robotics, Home Services","India",639542,"Seed",2025-07-01
"Kluisz.ai","kluisz.ai","Artificial Intelligence, Cloud Computing","India",9600000,"Seed",2025-07-01
"iTuring.ai","www.cyborgintell.com","Artificial Intelligence, Cloud Computing","India",5000000,"Series A",2025-07-01
"Grexa AI","grexa.ai","Artificial Intelligence, Sales, Marketing","India",1794134,"Seed",2025-07-01
"SUGAR Cosmetics","in.sugarcosmetics.com","Beauty, E-commerce","India",2898250,"Venture - Series Unknown",2025-07-01
"EduFund","www.edufund.in","Education, Finance, Family","India",6000000,"Series A",2025-07-01
"ApClub","www.apclub.co.in","Education, Fitness","India",231860,"Pre-Seed",2025-07-01
"Netrasemi","www.netrasemi.com","Electronics","India",12399679,"Series A",2025-07-01
"EVeez","www.eveez.in","EV, Automotive","India",5400000,"Series A",2025-07-01
"Anny","www.styleanny.in","Fashion","India",1158957,"Seed",2025-07-01
"MedGenome","diagnostics.medgenome.com","Healthcare","India",47500000,"Series E",2025-07-01
"Pristyn Care","www.pristyncare.com","Healthcare","India",4000000,"Venture - Series Unknown",2025-07-01
"Bharatsure","bharatsure.com","Insurance, FinTech, Finance","India",695309,"Venture - Series Unknown",2025-07-01
"Enlite Research","www.enliteresearch.com","Property Management, Real Estate","India",5330703,"Series A",2025-07-01
"SuperK","www.superk.in","Retail, Marketplace","India",11588486,"Series B",2025-07-01
"Hudle","hudle.in","Sports, Fitness","India",2500000,"Series A",2025-07-01
"Escape Plan","myescplan.com","Travel","India",5000000,"Seed",2025-07-01
"Orbitt Space","orbitt.space","Aerospace","India",1000000,"Pre-Seed",2025-06-01
"Samunnati","samunnati.com","Agriculture","India",499606,"Series E",2025-06-01
"Frinks AI","frinks.ai","Artificial Intelligence","India",5400000,"Seed",2025-06-01
"Contineu","www.contineu.ai","Artificial Intelligence","India",1200000,"Seed",2025-06-01
"Cleevo","getcleevo.com","Education, Gaming","India",1000000,"Seed",2025-06-01
"Slikk","slikk.club","Fashion","India",10000000,"Series A",2025-06-01
"Palmonas","www.palmonas.com","Fashion","India",6500000,"Series A",2025-06-01
"Snitch","www.snitch.co.in","Fashion, E-commerce","India",32632092,"Series B",2025-06-01
"EUME","www.eumeworld.com","Fashion, Retail","India",2938859,"Series A",2025-06-01
"ILIOS 72 Alternative Capital","ilios72altcap.co.in","FinTech, Finance, Investing","India",117111,"Seed",2025-06-01
"Snabbit","snabbit.com","Home Services","India",19000000,"Series B",2025-06-01
"GROWiT","www.thegrowit.com","Home Services","India",3000000,"Series A",2025-06-01
"Pepperfry","www.pepperfry.com","E-commerce, Marketplace","India",5069715,"Venture - Series Unknown",2025-06-01
"GyanDhan","www.gyandhan.com","Education","India",5850721,"Series A",2025-06-01
"Gully Labs","gullylabs.com","Education","India",890284,"Seed",2025-06-01
"Infin8t","infin8t.tech","Energy","India",450000,"Pre-Seed",2025-06-01
"True Diamond","truediamond.in","Fashion","India",3033519,"Seed",2025-06-01
"Plush","www.plushforher.com","Fashion, E-commerce","India",4666952,"Series B",2025-06-01
"Spense","spense.money","FinTech","India",1850000,"Pre-Seed",2025-06-01
"LoanTap","loantap.in","FinTech, Finance","India",6300000,"Series C",2025-06-01
"Naagin","naaginsauce.com","Food and Beverage","India",2100000,"Venture - Series Unknown",2025-06-01
"Khari Foods","kharifoods.com","Food and Beverage","India",349332,"Seed",2025-06-01
"Handpickd","handpickd.farm","Food and Beverage","India",2526104,"Seed",2025-06-01
"Paras Healthcare","www.parashospitals.com","Healthcare","India",19859597,"Private Equity",2025-06-01
"Biopeak","www.biopeak.com","Healthcare","India",3500000,"Seed",2025-06-01
"The Tarzan Way","www.thetarzanway.com","Travel","India",232888,"Seed",2025-06-01
"Garuda Aerospace","www.garudaaerospace.com","Aerospace","India",1000000,"Series B",2025-06-01
"Roomstory.ai","roomstory.ai","Artificial Intelligence","India",350428,"Pre-Seed",2025-06-01
"Rumik.ai","rumik.ai","Artificial Intelligence","India",5000000,"Seed",2025-06-01
"Astrophel Aerospace","astrophelaerospace.in","Aerospace","India",798719,"Pre-Seed",2025-07-01
"Bambrew","www.bambrew.in","Alcohol","India",10509463,"Series B",2025-07-01
"CIMware","cimware.tech","Artificial Intelligence","India",2300000,"Seed",2025-07-01
"Garaaz","web.garaaz.com","Automotive, Cloud Computing, Marketplace","India",531312,"Seed",2025-07-01
"Loopworm","loopworm.in","Biotechnology, Manufacturing","India",3250000,"Seed",2025-07-01
"Lamark Biotech","lamarkbiotech.com","Biotechnology, Pharmaceuticals","India",759017,"Seed",2025-07-01
"Aukera","aukerajewellery.com","E-commerce, Fashion","India",15000000,"Series B",2025-07-01
"Blostem","blostem.com","Education, Artificial Intelligence","India",466722,"Seed",2025-07-01
"Cookd","cookdtv.com","Education, Media","India",1866890,"Seed",2025-07-01
"FitFeast","fitfeast.in","Food and Beverage","India",642407,"Seed",2025-07-01
"FES Cafe & Desserts","forearthssake.co.in","Food and Beverage","India",350404,"Seed",2025-07-01
"Eekifoods","eekifoods.com","Food and Beverage, Agriculture","India",7000000,"Series A",2025-07-01
"Luma Fertility","lumafertility.com","Healthcare","India",4000000,"Seed",2025-07-01
"AppsForBharat","appsforbharat.com","Mobile, Cloud Computing, Wellness","India",20435066,"Series C",2025-07-01
"Jumbotail","w.jumbotail.com","Retail, E-commerce, B2B Software, Marketplace","India",120000000,"Series D",2025-07-01
"Amama Jewellery","www.amama.in","Retail, Education","India",2300000,"Seed",2025-07-01
"SuperZop","www.superzop.com","Agriculture","India",12600000,"Series B",2025-07-01
"Arteria Technologies","arteriatech.in","Biotechnology, Artificial Intelligence","India",11681549,"Series B",2025-07-01
"Belong","getbelong.com","Cloud Computing","India",5000000,"Seed",2025-07-01
"Linkrunner","www.linkrunner.io","Data, Artificial Intelligence","India",583341,"Pre-Seed",2025-07-01
"EnerComp Solutions","www.enercomp.in","Drones, Manufacturing","India",232939,"Convertible Note",2025-07-01
"Divine Hindu","www.divinehindu.in","E-commerce, Retail","India",181989,"Seed",2025-07-01
"Credit Wise Capital","creditwisecapital.com","Finance","India",23333629,"Private Equity",2025-07-01
"InPrime Finserv","inprime.in","Finance","India",5832979,"Series A",2025-07-01
"Clean Fanatics","cleanfanatics.com","Home Services","India",1985863,"Seed",2025-07-01
"Chai Bisket","chaibisket.com","Media, Entertainment","India",5000000,"Seed",2025-07-01
"Manjha Technologies","manjha.in","Mobile, Cloud Computing","India",116660,"Seed",2025-07-01
"Wiselife","wiselife.in","Retail, Consumer Goods","India",933277,"Seed",2025-07-01
"Qoruz","qoruz.com","Social Network","India",500000,"Seed",2025-07-01
"Green Aero Propulsion","www.greenaero.in","Utilities","India",1600000,"Seed",2025-07-01
"Qik Office","qikoffice.com","Artificial Intelligence","India",150000,"Pre-Seed",2025-07-01
"Trupeer Ai","www.trupeer.ai","Artificial Intelligence","India",3000000,"Seed",2025-07-01
"QpiAI","qpiai.tech","Artificial Intelligence, Quantum Computing","India",32000000,"Series A",2025-07-01
"Zuppa Geo Navigation Technologies","www.zuppagps.com","Drones, Cloud Computing","India",1500000,"Convertible Note",2025-07-01
"KNOT","knotnow.co","Fashion, Cloud Computing","India",3000000,"Seed",2025-07-01
"PayU","www.payu.in","Finance","India",35232965,"Venture - Series Unknown",2025-07-01
"Burger Singh","burgersinghonline.com","Food and Beverage, E-commerce","India",5485952,"Venture - Series Unknown",2025-07-01
"DIAL4242","www.dial4242.com","Healthcare","India",1048275,"Seed",2025-07-01
"the HLTY.Beings collective","www.hlty.care","Healthcare","India",116280,"Pre-Seed",2025-07-01
"Lo! Foods","lofoods.fit","Healthcare","India",3500000,"Series A",2025-07-01
"Truemeds","www.truemeds.in","Healthcare, Pharmaceuticals","India",20324994,"Series C",2025-07-01
"Deep Algorithms Solutions","www.deepalgorithms.in","Information Technology, Professional Services","India",1259163,"Seed",2025-07-01
"Navana Tech","www.navana.ai","Mobile","India",815325,"Seed",2025-07-01
